subject	stream	weight_type	position	number	weight	x0_type
1	dual	data	0	1	0.2647058823529412	specific
1	dual	data	0	2	0.42857142857142855	specific
1	dual	data	0	3	0.5161290322580645	specific
1	dual	data	0	4	0.47058823529411764	specific
1	dual	data	0	5	0.46153846153846156	specific
1	dual	data	0	6	0.4482758620689655	specific
1	dual	data	0	7	0.46875	specific
1	dual	data	0	8	0.4	specific
1	dual	data	0	9	0.5555555555555556	specific
1	dual	data	1	1	0.25806451612903225	specific
1	dual	data	1	2	0.5483870967741935	specific
1	dual	data	1	3	0.3333333333333333	specific
1	dual	data	1	4	0.41379310344827586	specific
1	dual	data	1	5	0.5853658536585366	specific
1	dual	data	1	6	0.5	specific
1	dual	data	1	7	0.4864864864864865	specific
1	dual	data	1	8	0.5128205128205128	specific
1	dual	data	1	9	0.5454545454545454	specific
1	dual	data	2	1	0.42857142857142855	specific
1	dual	data	2	2	0.45161290322580644	specific
1	dual	data	2	3	0.5526315789473685	specific
1	dual	data	2	4	0.3333333333333333	specific
1	dual	data	2	5	0.25806451612903225	specific
1	dual	data	2	6	0.5714285714285714	specific
1	dual	data	2	7	0.6785714285714286	specific
1	dual	data	2	8	0.6296296296296297	specific
1	dual	data	2	9	0.6052631578947368	specific
1	dual	data	3	1	0.22857142857142856	specific
1	dual	data	3	2	0.4117647058823529	specific
1	dual	data	3	3	0.40540540540540543	specific
1	dual	data	3	4	0.5333333333333333	specific
1	dual	data	3	5	0.53125	specific
1	dual	data	3	6	0.48484848484848486	specific
1	dual	data	3	7	0.6	specific
1	dual	data	3	8	0.5909090909090909	specific
1	dual	data	3	9	0.6190476190476191	specific
1	dual	data	4	1	0.5185185185185185	specific
1	dual	data	4	2	0.38461538461538464	specific
1	dual	data	4	3	0.6538461538461539	specific
1	dual	data	4	4	0.5897435897435898	specific
1	dual	data	4	5	0.36666666666666664	specific
1	dual	data	4	6	0.4642857142857143	specific
1	dual	data	4	7	0.6538461538461539	specific
1	dual	data	4	8	0.7045454545454546	specific
1	dual	data	4	9	0.6585365853658537	specific
1	dual	data	5	1	0.3870967741935484	specific
1	dual	data	5	2	0.41025641025641024	specific
1	dual	data	5	3	0.5	specific
1	dual	data	5	4	0.3888888888888889	specific
1	dual	data	5	5	0.7037037037037037	specific
1	dual	data	5	6	0.4375	specific
1	dual	data	5	7	0.5357142857142857	specific
1	dual	data	5	8	0.5952380952380952	specific
1	dual	data	5	9	0.7575757575757576	specific
1	dual	data	6	1	0.5365853658536586	specific
1	dual	data	6	2	0.375	specific
1	dual	data	6	3	0.5333333333333333	specific
1	dual	data	6	4	0.3333333333333333	specific
1	dual	data	6	5	0.5185185185185185	specific
1	dual	data	6	6	0.5	specific
1	dual	data	6	7	0.4166666666666667	specific
1	dual	data	6	8	0.6216216216216216	specific
1	dual	data	6	9	0.7096774193548387	specific
1	dual	data	7	1	0.5161290322580645	specific
1	dual	data	7	2	0.43478260869565216	specific
1	dual	data	7	3	0.4883720930232558	specific
1	dual	data	7	4	0.5769230769230769	specific
1	dual	data	7	5	0.5789473684210527	specific
1	dual	data	7	6	0.6153846153846154	specific
1	dual	data	7	7	0.5151515151515151	specific
1	dual	data	7	8	0.7575757575757576	specific
1	dual	data	7	9	0.8333333333333334	specific
1	dual	data	8	1	0.2894736842105263	specific
1	dual	data	8	2	0.25925925925925924	specific
1	dual	data	8	3	0.375	specific
1	dual	data	8	4	0.34210526315789475	specific
1	dual	data	8	5	0.3103448275862069	specific
1	dual	data	8	6	0.6666666666666666	specific
1	dual	data	8	7	0.45	specific
1	dual	data	8	8	0.7142857142857143	specific
1	dual	data	8	9	0.7142857142857143	specific
1	dual	data	9	1	0.25	specific
1	dual	data	9	2	0.3684210526315789	specific
1	dual	data	9	3	0.4117647058823529	specific
1	dual	data	9	4	0.39473684210526316	specific
1	dual	data	9	5	0.4722222222222222	specific
1	dual	data	9	6	0.5	specific
1	dual	data	9	7	0.68	specific
1	dual	data	9	8	0.5813953488372093	specific
1	dual	data	9	9	0.8076923076923077	specific
1	dual	model	0	1	0.34914776786967955	specific
1	dual	model	0	2	0.41604077002166456	specific
1	dual	model	0	3	0.4825180972244827	specific
1	dual	model	0	4	0.4942008180096258	specific
1	dual	model	0	5	0.4888385375377146	specific
1	dual	model	0	6	0.5245329103027238	specific
1	dual	model	0	7	0.5359541252836264	specific
